Product code,Station number,Year,Month,Monthly Precipitation Total (millimetres),Quality
IDCJAC0001,009018,1920,06,188.5,Y
IDCJAC0001,009018,1920,07,150.4,Y
IDCJAC0001,009018,1920,08,244.7,Y
IDCJAC0001,009018,1920,09,30.0,Y
IDCJAC0001,009018,1920,10,20.9,Y
IDCJAC0001,009018,1920,11,2.8,Y
IDCJAC0001,009018,1920,12,2.8,Y
IDCJAC0001,009018,1921,01,1.3,Y
IDCJAC0001,009018,1921,02,28.9,Y
IDCJAC0001,009018,1921,03,23.4,Y
IDCJAC0001,009018,1921,04,10.7,Y
IDCJAC0001,009018,1921,05,151.9,Y
IDCJAC0001,009018,1921,06,142.7,Y
IDCJAC0001,009018,1921,07,127.2,Y
IDCJAC0001,009018,1921,08,68.7,Y
IDCJAC0001,009018,1921,09,61.0,Y
IDCJAC0001,009018,1921,10,88.0,Y
IDCJAC0001,009018,1921,11,27.9,Y
IDCJAC0001,009018,1921,12,5.9,Y
IDCJAC0001,009018,1922,01,2.5,Y
IDCJAC0001,009018,1922,02,17.5,Y
IDCJAC0001,009018,1922,03,5.0,Y
IDCJAC0001,009018,1922,04,50.6,Y
IDCJAC0001,009018,1922,05,101.5,Y
IDCJAC0001,009018,1922,06,96.4,Y
IDCJAC0001,009018,1922,07,175.1,Y
IDCJAC0001,009018,1922,08,86.0,Y
IDCJAC0001,009018,1922,09,81.9,Y
IDCJAC0001,009018,1922,10,39.6,Y
IDCJAC0001,009018,1922,11,23.0,Y
IDCJAC0001,009018,1922,12,26.7,Y
IDCJAC0001,009018,1923,01,20.5,Y
IDCJAC0001,009018,1923,02,0.0,Y
IDCJAC0001,009018,1923,03,31.5,Y
IDCJAC0001,009018,1923,04,51.3,Y
IDCJAC0001,009018,1923,05,146.5,Y
IDCJAC0001,009018,1923,06,345.1,Y
IDCJAC0001,009018,1923,07,88.7,Y
IDCJAC0001,009018,1923,08,109.6,Y
IDCJAC0001,009018,1923,09,140.2,Y
IDCJAC0001,009018,1923,10,57.7,Y
IDCJAC0001,009018,1923,11,0.8,Y
IDCJAC0001,009018,1923,12,72.6,Y
IDCJAC0001,009018,1924,01,3.6,Y
IDCJAC0001,009018,1924,02,5.1,Y
IDCJAC0001,009018,1924,03,8.6,Y
IDCJAC0001,009018,1924,04,8.1,Y
IDCJAC0001,009018,1924,05,112.9,Y
IDCJAC0001,009018,1924,06,114.6,Y
IDCJAC0001,009018,1924,07,98.8,Y
IDCJAC0001,009018,1924,08,148.0,Y
IDCJAC0001,009018,1924,09,67.9,Y
IDCJAC0001,009018,1924,10,111.3,Y
IDCJAC0001,009018,1924,11,45.5,Y
IDCJAC0001,009018,1924,12,1.8,Y
IDCJAC0001,009018,1925,01,10.4,Y
IDCJAC0001,009018,1925,02,53.8,Y
IDCJAC0001,009018,1925,03,9.9,Y
IDCJAC0001,009018,1925,04,16.6,Y
IDCJAC0001,009018,1925,05,102.6,Y
IDCJAC0001,009018,1925,06,166.4,Y
IDCJAC0001,009018,1925,07,169.0,Y
IDCJAC0001,009018,1925,08,32.6,Y
IDCJAC0001,009018,1925,09,109.4,Y
IDCJAC0001,009018,1925,10,63.1,Y
IDCJAC0001,009018,1925,11,11.2,Y
IDCJAC0001,009018,1925,12,34.8,Y
IDCJAC0001,009018,1926,01,1.6,Y
IDCJAC0001,009018,1926,02,12.6,Y
IDCJAC0001,009018,1926,03,46.2,Y
IDCJAC0001,009018,1926,04,117.5,Y
IDCJAC0001,009018,1926,05,121.6,Y
IDCJAC0001,009018,1926,06,149.4,Y
IDCJAC0001,009018,1926,07,258.7,Y
IDCJAC0001,009018,1926,08,161.8,Y
IDCJAC0001,009018,1926,09,91.7,Y
IDCJAC0001,009018,1926,10,108.1,Y
IDCJAC0001,009018,1926,11,50.0,Y
IDCJAC0001,009018,1926,12,0.0,Y
IDCJAC0001,009018,1927,01,21.4,Y
IDCJAC0001,009018,1927,02,12.7,Y
IDCJAC0001,009018,1927,03,52.2,Y
IDCJAC0001,009018,1927,04,18.3,Y
IDCJAC0001,009018,1927,05,80.0,Y
IDCJAC0001,009018,1927,06,144.3,Y
IDCJAC0001,009018,1927,07,158.7,Y
IDCJAC0001,009018,1927,08,135.2,Y
IDCJAC0001,009018,1927,09,77.6,Y
IDCJAC0001,009018,1927,10,69.8,Y
IDCJAC0001,009018,1927,11,5.8,Y
IDCJAC0001,009018,1927,12,8.1,Y
IDCJAC0001,009018,1928,01,7.4,Y
IDCJAC0001,009018,1928,02,0.0,Y
IDCJAC0001,009018,1928,03,3.8,Y
IDCJAC0001,009018,1928,04,19.6,Y
IDCJAC0001,009018,1928,05,105.6,Y
IDCJAC0001,009018,1928,06,111.5,Y
IDCJAC0001,009018,1928,07,247.3,Y
IDCJAC0001,009018,1928,08,136.9,Y
IDCJAC0001,009018,1928,09,83.6,Y
IDCJAC0001,009018,1928,10,57.9,Y
IDCJAC0001,009018,1928,11,13.5,Y
IDCJAC0001,009018,1928,12,17.0,Y
IDCJAC0001,009018,1929,01,1.3,Y
IDCJAC0001,009018,1929,02,23.9,Y
IDCJAC0001,009018,1929,03,1.3,Y
IDCJAC0001,009018,1929,04,9.9,Y
IDCJAC0001,009018,1929,05,177.4,Y
IDCJAC0001,009018,1929,06,226.1,Y
IDCJAC0001,009018,1929,07,176.2,Y
